pair,Word_Number,type,total,other,other_word,correct,wrong,Threshold,Correct_Percentage,Wrong_Percentage
1,1.0,M,47.0,5.0,23.0,19.0,28.0,31732.82606828628,0.40425531914893614,0.5957446808510638
1,2.0,M,46.0,2.0,20.0,24.0,22.0,34956.33729682779,0.5217391304347826,0.4782608695652174
2,1.0,M,45.0,2.0,17.0,26.0,19.0,9472.018318929246,0.5777777777777777,0.4222222222222222
2,2.0,M,48.0,6.0,16.0,26.0,22.0,8572.988202765502,0.5416666666666666,0.4583333333333333
3,1.0,M,49.0,6.0,17.0,26.0,23.0,4976.725375691627,0.5306122448979592,0.46938775510204084
3,2.0,M,49.0,2.0,18.0,29.0,20.0,4253.428701891897,0.5918367346938775,0.40816326530612246
4,1.0,M,46.0,8.0,18.0,20.0,26.0,7603.2917373616165,0.43478260869565216,0.5652173913043478
4,2.0,M,49.0,3.0,14.0,32.0,17.0,6455.929910915856,0.6530612244897959,0.3469387755102041
5,1.0,M,49.0,7.0,15.0,27.0,22.0,7266.407866447524,0.5510204081632653,0.4489795918367347
5,2.0,M,49.0,1.0,21.0,27.0,22.0,7260.728076807726,0.5510204081632653,0.4489795918367347
6,1.0,M,45.0,0.0,10.0,35.0,10.0,7884.410372164821,0.7777777777777778,0.2222222222222222
6,2.0,M,46.0,2.0,27.0,17.0,29.0,8063.744658321038,0.3695652173913043,0.6304347826086957
7,1.0,M,47.0,2.0,20.0,25.0,22.0,7847.141117565914,0.5319148936170213,0.46808510638297873
7,2.0,M,49.0,4.0,22.0,23.0,26.0,6033.441187492221,0.46938775510204084,0.5306122448979592
8,1.0,M,45.0,1.0,20.0,24.0,21.0,6897.445922022508,0.5333333333333333,0.4666666666666667
8,2.0,M,46.0,2.0,19.0,25.0,21.0,5507.945075644741,0.5434782608695652,0.45652173913043476
9,1.0,M,48.0,3.0,9.0,36.0,12.0,6376.762748412623,0.75,0.25
9,2.0,M,47.0,4.0,22.0,21.0,26.0,7699.848413689112,0.44680851063829785,0.5531914893617021
10,1.0,M,47.0,0.0,24.0,23.0,24.0,3383.0156471614746,0.48936170212765956,0.5106382978723404
10,2.0,M,47.0,1.0,21.0,25.0,22.0,4299.422049844645,0.5319148936170213,0.46808510638297873
11,1.0,M,46.0,3.0,20.0,23.0,23.0,4303.926886812164,0.5,0.5
11,2.0,M,47.0,6.0,19.0,22.0,25.0,5195.489961237621,0.46808510638297873,0.5319148936170213
12,1.0,M,49.0,5.0,22.0,22.0,27.0,7970.460883525433,0.4489795918367347,0.5510204081632653
12,2.0,M,50.0,7.0,19.0,24.0,26.0,6578.255118693388,0.48,0.52
13,1.0,M,49.0,3.0,23.0,23.0,26.0,4373.199796817547,0.46938775510204084,0.5306122448979592
13,2.0,M,47.0,7.0,19.0,21.0,26.0,4409.121965957288,0.44680851063829785,0.5531914893617021
14,1.0,M,46.0,2.0,24.0,20.0,26.0,5856.707859561554,0.43478260869565216,0.5652173913043478
14,2.0,M,48.0,1.0,15.0,32.0,16.0,5951.487280576574,0.6666666666666666,0.3333333333333333
15,1.0,M,49.0,7.0,17.0,25.0,24.0,4600.5261135480105,0.5102040816326531,0.4897959183673469
15,2.0,M,49.0,6.0,19.0,24.0,25.0,4400.453209917769,0.4897959183673469,0.5102040816326531
16,1.0,M,39.0,4.0,8.0,27.0,12.0,6220.798754225774,0.6923076923076923,0.3076923076923077
16,2.0,M,40.0,9.0,14.0,17.0,23.0,4290.8461297849435,0.425,0.575
17,1.0,M,48.0,3.0,17.0,28.0,20.0,6313.203339418102,0.5833333333333334,0.4166666666666667
17,2.0,M,49.0,4.0,25.0,20.0,29.0,4771.578504065576,0.40816326530612246,0.5918367346938775
18,1.0,M,50.0,3.0,12.0,35.0,15.0,5846.816040154584,0.7,0.3
18,2.0,M,47.0,6.0,17.0,24.0,23.0,4505.572669544045,0.5106382978723404,0.48936170212765956
19,1.0,M,47.0,6.0,23.0,18.0,29.0,5296.207374843969,0.3829787234042553,0.6170212765957447
19,2.0,M,48.0,2.0,16.0,30.0,18.0,5527.836583576107,0.625,0.375
20,1.0,M,46.0,7.0,7.0,32.0,14.0,4653.500596870133,0.6956521739130435,0.30434782608695654
20,2.0,M,48.0,10.0,19.0,19.0,29.0,4506.294368549201,0.3958333333333333,0.6041666666666666
21,1.0,M,48.0,5.0,15.0,28.0,20.0,8835.584940903522,0.5833333333333334,0.4166666666666667
21,2.0,M,49.0,3.0,26.0,20.0,29.0,6119.467777058988,0.40816326530612246,0.5918367346938775
22,1.0,M,48.0,6.0,15.0,27.0,21.0,4593.561685941766,0.5625,0.4375
22,2.0,M,49.0,0.0,14.0,35.0,14.0,5376.606984539744,0.7142857142857143,0.2857142857142857
23,1.0,M,49.0,5.0,24.0,20.0,29.0,4986.255953703912,0.40816326530612246,0.5918367346938775
23,2.0,M,48.0,5.0,15.0,28.0,20.0,5288.333074638862,0.5833333333333334,0.4166666666666667
24,1.0,M,48.0,6.0,20.0,22.0,26.0,2856.7030928314866,0.4583333333333333,0.5416666666666666
24,2.0,M,44.0,6.0,21.0,17.0,27.0,2657.736113895727,0.38636363636363635,0.6136363636363636
25,1.0,M,50.0,4.0,17.0,29.0,21.0,6752.382947778065,0.58,0.42
25,2.0,M,50.0,1.0,29.0,20.0,30.0,5769.770470169096,0.4,0.6
26,1.0,M,47.0,2.0,17.0,28.0,19.0,6388.332367644013,0.5957446808510638,0.40425531914893614
26,2.0,M,48.0,2.0,26.0,20.0,28.0,6035.852835762429,0.4166666666666667,0.5833333333333334
27,1.0,M,48.0,7.0,12.0,29.0,19.0,4513.629421047175,0.6041666666666666,0.3958333333333333
27,2.0,M,49.0,5.0,15.0,29.0,20.0,4246.107427371232,0.5918367346938775,0.40816326530612246
28,1.0,M,47.0,5.0,15.0,27.0,20.0,4253.603669889022,0.574468085106383,0.425531914893617
28,2.0,M,45.0,4.0,22.0,19.0,26.0,4275.998890652825,0.4222222222222222,0.5777777777777777
29,1.0,M,47.0,5.0,17.0,25.0,22.0,3099.4273298402986,0.5319148936170213,0.46808510638297873
29,2.0,M,47.0,1.0,17.0,29.0,18.0,3250.3015589302345,0.6170212765957447,0.3829787234042553
30,1.0,M,46.0,1.0,20.0,25.0,21.0,2391.508295033905,0.5434782608695652,0.45652173913043476
30,2.0,M,48.0,8.0,21.0,19.0,29.0,2894.8271432074566,0.3958333333333333,0.6041666666666666
31,1.0,M,47.0,5.0,22.0,20.0,27.0,3057.274146238851,0.425531914893617,0.574468085106383
31,2.0,M,46.0,1.0,19.0,26.0,20.0,2996.1010276350416,0.5652173913043478,0.43478260869565216
32,1.0,M,48.0,4.0,28.0,16.0,32.0,4021.724266005848,0.3333333333333333,0.6666666666666666
32,2.0,M,48.0,3.0,15.0,30.0,18.0,3590.6355366664066,0.625,0.375
33,1.0,M,48.0,4.0,22.0,22.0,26.0,4415.622002769656,0.4583333333333333,0.5416666666666666
33,2.0,M,33.0,1.0,10.0,22.0,11.0,7887.489348091633,0.6666666666666666,0.3333333333333333
34,1.0,M,47.0,0.0,26.0,21.0,26.0,4302.719046155777,0.44680851063829785,0.5531914893617021
34,2.0,M,50.0,0.0,25.0,25.0,25.0,4288.537197926374,0.5,0.5
35,1.0,M,46.0,0.0,15.0,31.0,15.0,4202.28954861072,0.6739130434782609,0.32608695652173914
35,2.0,M,49.0,7.0,26.0,16.0,33.0,4268.015308126545,0.32653061224489793,0.673469387755102
36,1.0,M,47.0,1.0,15.0,31.0,16.0,3440.826864076609,0.6595744680851063,0.3404255319148936
36,2.0,M,48.0,6.0,18.0,24.0,24.0,3963.341894460886,0.5,0.5
37,1.0,M,47.0,4.0,8.0,35.0,12.0,2746.484785009541,0.7446808510638298,0.2553191489361702
37,2.0,M,49.0,1.0,22.0,26.0,23.0,4350.146066424234,0.5306122448979592,0.46938775510204084
38,1.0,M,47.0,6.0,18.0,23.0,24.0,3015.686879486041,0.48936170212765956,0.5106382978723404
38,2.0,M,48.0,4.0,7.0,37.0,11.0,2800.928230615761,0.7708333333333334,0.22916666666666666
39,1.0,M,50.0,1.0,15.0,34.0,16.0,5537.711020608133,0.68,0.32
39,2.0,M,49.0,5.0,28.0,16.0,33.0,5445.412873264943,0.32653061224489793,0.673469387755102
40,1.0,M,48.0,3.0,19.0,26.0,22.0,4681.438037625561,0.5416666666666666,0.4583333333333333
40,2.0,M,47.0,0.0,22.0,25.0,22.0,4755.728844320623,0.5319148936170213,0.46808510638297873
41,1.0,M,48.0,3.0,19.0,26.0,22.0,5684.302731480408,0.5416666666666666,0.4583333333333333
41,2.0,M,46.0,7.0,17.0,22.0,24.0,4889.61715443201,0.4782608695652174,0.5217391304347826
42,1.0,M,47.0,2.0,14.0,31.0,16.0,3160.437513842535,0.6595744680851063,0.3404255319148936
42,2.0,M,47.0,11.0,13.0,23.0,24.0,2576.4326797283757,0.48936170212765956,0.5106382978723404
43,1.0,M,47.0,2.0,6.0,39.0,8.0,3131.933012096284,0.8297872340425532,0.1702127659574468
43,2.0,M,48.0,4.0,6.0,38.0,10.0,3212.394198568396,0.7916666666666666,0.20833333333333334
44,1.0,M,47.0,0.0,11.0,36.0,11.0,3135.005429054069,0.7659574468085106,0.23404255319148937
44,2.0,M,47.0,0.0,11.0,36.0,11.0,3476.250001725517,0.7659574468085106,0.23404255319148937
45,1.0,M,50.0,10.0,2.0,38.0,12.0,3923.6245838047876,0.76,0.24
45,2.0,M,46.0,4.0,18.0,24.0,22.0,4416.439497810096,0.5217391304347826,0.4782608695652174
46,1.0,M,49.0,6.0,7.0,36.0,13.0,3367.6220684227687,0.7346938775510204,0.2653061224489796
46,2.0,M,47.0,4.0,8.0,35.0,12.0,3061.267742525696,0.7446808510638298,0.2553191489361702
47,1.0,M,46.0,2.0,11.0,33.0,13.0,4175.980867396285,0.717391304347826,0.2826086956521739
47,2.0,M,45.0,1.0,16.0,28.0,17.0,3813.6512023398814,0.6222222222222222,0.37777777777777777
48,1.0,M,48.0,3.0,16.0,29.0,19.0,3718.966952600723,0.6041666666666666,0.3958333333333333
48,2.0,M,48.0,8.0,24.0,16.0,32.0,4175.794189549295,0.3333333333333333,0.6666666666666666
49,1.0,M,49.0,8.0,13.0,28.0,21.0,3037.159224390788,0.5714285714285714,0.42857142857142855
49,2.0,M,49.0,5.0,2.0,42.0,7.0,3336.193388737469,0.8571428571428571,0.14285714285714285
50,1.0,M,46.0,1.0,13.0,32.0,14.0,4226.515529524545,0.6956521739130435,0.30434782608695654
50,2.0,M,49.0,7.0,26.0,16.0,33.0,5188.008716132792,0.32653061224489793,0.673469387755102
51,1.0,M,47.0,5.0,19.0,23.0,24.0,6006.0156046891225,0.48936170212765956,0.5106382978723404
51,2.0,M,48.0,1.0,24.0,23.0,25.0,5492.846778933065,0.4791666666666667,0.5208333333333334
52,1.0,M,48.0,8.0,15.0,25.0,23.0,3255.9696533030583,0.5208333333333334,0.4791666666666667
52,2.0,M,47.0,3.0,21.0,23.0,24.0,2962.6655428067616,0.48936170212765956,0.5106382978723404
53,1.0,M,48.0,4.0,16.0,28.0,20.0,2799.4000286176192,0.5833333333333334,0.4166666666666667
53,2.0,M,48.0,2.0,15.0,31.0,17.0,3000.6302857521277,0.6458333333333334,0.3541666666666667
54,1.0,M,48.0,4.0,15.0,29.0,19.0,3924.944862911285,0.6041666666666666,0.3958333333333333
54,2.0,M,48.0,8.0,15.0,25.0,23.0,3576.956544775151,0.5208333333333334,0.4791666666666667
55,1.0,M,46.0,4.0,19.0,23.0,23.0,2434.599047734566,0.5,0.5
55,2.0,M,47.0,4.0,20.0,23.0,24.0,2933.7779220689954,0.48936170212765956,0.5106382978723404
56,1.0,M,47.0,2.0,18.0,27.0,20.0,2742.6216140652887,0.574468085106383,0.425531914893617
56,2.0,M,48.0,2.0,22.0,24.0,24.0,3231.162358795608,0.5,0.5
57,1.0,M,47.0,6.0,16.0,25.0,22.0,2606.501045486675,0.5319148936170213,0.46808510638297873
57,2.0,M,46.0,3.0,16.0,27.0,19.0,2619.044929728712,0.5869565217391305,0.41304347826086957
58,1.0,M,45.0,5.0,17.0,23.0,22.0,3250.996054833756,0.5111111111111111,0.4888888888888889
58,2.0,M,46.0,1.0,20.0,25.0,21.0,3309.3093870770367,0.5434782608695652,0.45652173913043476
59,1.0,M,48.0,1.0,18.0,29.0,19.0,3118.7101072014557,0.6041666666666666,0.3958333333333333
59,2.0,M,48.0,1.0,15.0,32.0,16.0,2865.899997606889,0.6666666666666666,0.3333333333333333
60,1.0,M,47.0,1.0,24.0,22.0,25.0,2581.65358455323,0.46808510638297873,0.5319148936170213
60,2.0,M,47.0,2.0,15.0,30.0,17.0,2175.84647617066,0.6382978723404256,0.3617021276595745
61,1.0,M,46.0,5.0,23.0,18.0,28.0,4998.277729029316,0.391304347826087,0.6086956521739131
61,2.0,M,47.0,4.0,18.0,25.0,22.0,4115.246703326514,0.5319148936170213,0.46808510638297873
Summation,,,5769.0,463.0,2140.0,3166.0,2603.0,620180.9200345124,0.5487952851447391,0.45120471485526087
